Order,Family,Subfamily,Genus,Species,Type Species?,"Exemplar RefSeq
Accession Number","Exemplar GenBank
Accession Number",Exemplar Isolate,Genome Composition,Last Change,MSL of Last Changed,Proposal,Taxon History URL
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Salmonella Fels-2,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140022
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Salmonella SopEphi,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140023
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Yersinia phage L-413C,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140024
Caudovirales,Myoviridae,Spounavirinae,Spounalikevirus,Bacillus phage SPO1,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140027
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,Listeria phage A511,0,,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140029
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,Listeria phage P100,0,,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140030
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,Staphylococcus phage G1,0,,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140031
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,Staphylococcus phage K,0,,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140032
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,Staphylococcus phage Twort,1,,,,dsDNA,"New,Assigned as Type Species,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140033
Caudovirales,Myoviridae,Spounavirinae,Unassigned,Enterococcus phage phiEC24C,0,,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140035
Caudovirales,Myoviridae,Spounavirinae,Unassigned,Lactobacillus phage LP65,0,,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140036
Caudovirales,Myoviridae,Tevenvirinae,Schizot4likevirus,Vibrio phage KVP40,1,,,,dsDNA,"New,Assigned as Type Species,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140039
Caudovirales,Myoviridae,Tevenvirinae,Schizot4likevirus,Vibrio phage nt-1,0,,,,dsDNA,"Moved,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140040
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Aeromonas phage 25,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140042
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Aeromonas phage 31,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140043
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Aeromonas phage 44RR2.8t,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140044
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Enterobacteria phage SV14,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140045
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Enterobacteria phage T4,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140046
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Escherichia phage JS98,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140047
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Escherichia phage phi1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140048
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Escherichia phage RB14,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140049
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Escherichia phage RB16,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140050
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Escherichia phage RB32,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140051
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Escherichia phage RB43,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140052
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Escherichia phage RB49,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140053
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Escherichia phage RB69,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140054
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,Pseudomonas phage 42,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140055
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Acinetobacter phage 133,0,,,,dsDNA,"Moved,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140057
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Aeromonas phage 65,0,,,,dsDNA,"Moved,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140058
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Aeromonas phage Aeh1,0,,,,dsDNA,"Moved,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140059
Caudovirales,Myoviridae,,Bcep78likevirus,Burkholderia phage Bcep1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140062
Caudovirales,Myoviridae,,Bcep78likevirus,Burkholderia phage Bcep43,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140063
Caudovirales,Myoviridae,,Bcep78likevirus,Burkholderia phage Bcep781,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140064
Caudovirales,Myoviridae,,Bcep78likevirus,Burkholderia phage BcepNY3,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140065
Caudovirales,Myoviridae,,Bcep78likevirus,Xanthomonas phage OP2,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140066
Caudovirales,Myoviridae,,Bcepmulikevirus,Burkholderia phage BcepMu,1,,,,dsDNA,"New,Assigned as Type Species,",26,2009.003a-gB.A.v2.Bcepmulikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140068
Caudovirales,Myoviridae,,Bcepmulikevirus,Burkholderia phage phiE255,0,,,,dsDNA,"New,",26,2009.003a-gB.A.v2.Bcepmulikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140069
Caudovirales,Myoviridae,,Felixounalikevirus,Erwinia phage phiEa21-4,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140071
Caudovirales,Myoviridae,,Felixounalikevirus,Escherichia phage wV8,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140072
Caudovirales,Myoviridae,,Felixounalikevirus,Salmonella phage FelixO1,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140073
Caudovirales,Myoviridae,,Hapunalikevirus,Halomonas phage phiHAP-1,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140075
Caudovirales,Myoviridae,,Hapunalikevirus,Vibrio phage VP882,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140076
Caudovirales,Myoviridae,,I3likevirus,Mycobacterium phage I3,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140078
Caudovirales,Myoviridae,,Mulikevirus,Enterobacteria phage Mu,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140080
Caudovirales,Myoviridae,,Pbunalikevirus,Burkholderia phage BcepF1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140082
Caudovirales,Myoviridae,,Pbunalikevirus,Pseudomonas phage 14-1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140083
Caudovirales,Myoviridae,,Pbunalikevirus,Pseudomonas phage F8,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140084
Caudovirales,Myoviridae,,Pbunalikevirus,Pseudomonas phage LBL3,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140085
Caudovirales,Myoviridae,,Pbunalikevirus,Pseudomonas phage LMA2,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140086
Caudovirales,Myoviridae,,Pbunalikevirus,Pseudomonas phage PB1,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140087
Caudovirales,Myoviridae,,Pbunalikevirus,Pseudomonas phage SN,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140088
Caudovirales,Myoviridae,,Phicd119likevirus,Clostridium phage phiC2,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140090
Caudovirales,Myoviridae,,Phicd119likevirus,Clostridium phage phiCD119,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140092
Caudovirales,Myoviridae,,Phicd119likevirus,Clostridium phage phiCD27,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140091
Caudovirales,Myoviridae,,Phihlikevirus,Halobacterium phage phiH,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140094
Caudovirales,Myoviridae,,Phikzlikevirus,Pseudomonas phage EL,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140096
Caudovirales,Myoviridae,,Phikzlikevirus,Pseudomonas phage Lin68,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140097
Caudovirales,Myoviridae,,Phikzlikevirus,Pseudomonas phage phiKZ,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140098
Caudovirales,Myoviridae,,Punalikevirus,Aeromonas phage 43,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140100
Caudovirales,Myoviridae,,Punalikevirus,Enterobacteria phage P1,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140101
Caudovirales,Myoviridae,,Unassigned,Bacillus phage G,0,,,,dsDNA,"New,",25,"2009.010a,bB.v1.Myoviridae_phageG",http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140103
Caudovirales,Myoviridae,,Unassigned,Bacillus phage PBS1,0,,,,dsDNA,"New,",25,2009.011abB.v2.Myoviridae_phagePBS1,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140104
Caudovirales,Myoviridae,,Unassigned,Microcystis aeruginosa phage Ma-LMM01,0,,,,dsDNA,"New,",25,"2009.008a,bB.v1.Myoviridae-Sp",http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140105
Caudovirales,Myoviridae,,Viunalikevirus,Dickeya phage Limestone,0,,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140107
Caudovirales,Myoviridae,,Viunalikevirus,Escherichia phage Cba120,0,,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140108
Caudovirales,Myoviridae,,Viunalikevirus,Escherichia phage PhaxI,0,,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140109
Caudovirales,Myoviridae,,Viunalikevirus,Salmonella phage Sfp10,0,,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140110
Caudovirales,Myoviridae,,Viunalikevirus,Salmonella phage Sh19,0,,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140111
Caudovirales,Myoviridae,,Viunalikevirus,Salmonella phage ViI,1,,,,dsDNA,"New,Assigned as Type Species,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140112
Caudovirales,Myoviridae,,Viunalikevirus,Shigella phage Ag3,0,,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140113
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,Pantoea phage Limelight,0,,,,dsDNA,"New,",27,2012.006aB.A.v2.PhiKMV-like-2sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140127
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,Pantoea phage Limezero,0,,,,dsDNA,"New,",27,2012.006aB.A.v2.PhiKMV-like-2sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140128
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,Pseudomonas phage LKA1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140129
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,Pseudomonas phage phiKMV,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140130
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,Enterobacteria phage K1-5,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140133
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,Enterobacteria phage K1E,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140134
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,Enterobacteria phage K5,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140132
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,Enterobacteria phage SP6,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140135
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,Erwinia amylovora phage Era103,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140136
Caudovirales,Podoviridae,Autographivirinae,T7likevirus,Enterobacteria phage T7,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140138
Caudovirales,Podoviridae,Autographivirinae,T7likevirus,Kluyvera phage Kvp1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140139
Caudovirales,Podoviridae,Autographivirinae,T7likevirus,Pseudomonad phage gh-1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140140
Caudovirales,Podoviridae,Autographivirinae,Unassigned,Prochlorococcus phage P-SSP7,0,,,,dsDNA,"New,",25,2008.066B.v2.P-SSP7-Sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140142
Caudovirales,Podoviridae,Autographivirinae,Unassigned,Synechococcus phage P60,0,,,,dsDNA,"New,",25,2008.053B.v2.P60-Sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140143
Caudovirales,Podoviridae,Autographivirinae,Unassigned,Synechococcus phage syn5,0,,,,dsDNA,"New,",25,2008.070B.v2.syn5-Sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140144
Caudovirales,Podoviridae,Picovirinae,Ahjdlikevirus,Staphylococcus phage 44AHJD,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140147
Caudovirales,Podoviridae,Picovirinae,Ahjdlikevirus,Streptococcus phage C1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140148
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,Bacillus phage B103,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140150
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,Bacillus phage GA-1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140151
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,Bacillus phage phi29,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140152
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,Kurthia phage 6,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140153
Caudovirales,Podoviridae,Picovirinae,Unassigned,Actinomyces phage Av-1,0,,,,dsDNA,"New,",25,2008.011a-gB.v3.Picovirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140155
Caudovirales,Podoviridae,Picovirinae,Unassigned,Mycoplasma phage P1,0,,,,dsDNA,"New,",25,2008.052B.v2.P1-Sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140156
Caudovirales,Podoviridae,Picovirinae,Unassigned,Streptococcus phage Cp-1,0,,,,dsDNA,"Moved,",25,2008.011a-gB.v3.Picovirinae; 2008.061-062B.v2.Cp-1move,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140157
